# Table format: 3D															
21																				
15																				
1																				
-0.12	-0.11	-0.1	-0.09	-0.08	-0.07	-0.06	-0.05	-0.04	-0.03	-0.02	-0.01	0	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08
0.07	0.06	0.05	0.04	0.03	0.02	0.01	-0.000001	-0.01	-0.02	-0.03	-0.04	-0.05	-0.06	-0.07						
0																				
-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567	-0.00134567
-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969	-0.00113969
-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809	-0.00093809
-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111	-0.000741111
-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871	-0.000548871
-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369	-0.000361369
-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478	-0.000178478
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437	0.00017437
0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023	0.000345023
0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383	0.000512383
0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926	0.000676926
0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167	0.000839167
0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647	0.000999647
0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939	0.00115939
