# Table format: 2D
21
21
-120 -110 -100 -90 -80 -70 -60 -50 -40 -30 -20 -10 0 10 20 30 40 50 60 70 80 
-120 -110 -100 -90 -80 -70 -60 -50 -40 -30 -20 -10 0 10 20 30 40 50 60 70 80 
-1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 -2.65 -2.8 -2.95 -3.1 -3.25 -3.4 -3.55 -3.7 -3.85 -4 
-0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 -2.65 -2.8 -2.95 -3.1 -3.25 -3.4 -3.55 -3.7 -3.85 
-0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 -2.65 -2.8 -2.95 -3.1 -3.25 -3.4 -3.55 -3.7 
-0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 -2.65 -2.8 -2.95 -3.1 -3.25 -3.4 -3.55 
-0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 -2.65 -2.8 -2.95 -3.1 -3.25 -3.4 
-0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 -2.65 -2.8 -2.95 -3.1 -3.25 
-0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 -2.65 -2.8 -2.95 -3.1 
0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 -2.65 -2.8 -2.95 
0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 -2.65 -2.8 
0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 -2.65 
0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 -2.5 
0.65 0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 -2.35 
0.8 0.65 0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 -2.2 
0.95 0.8 0.65 0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 -2.05 
1.1 0.95 0.8 0.65 0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 -1.9 
1.25 1.1 0.95 0.8 0.65 0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 -1.75 
1.4 1.25 1.1 0.95 0.8 0.65 0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 -1.6 
1.55 1.4 1.25 1.1 0.95 0.8 0.65 0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 -1.45 
1.7 1.55 1.4 1.25 1.1 0.95 0.8 0.65 0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 -1.3 
1.85 1.7 1.55 1.4 1.25 1.1 0.95 0.8 0.65 0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 -1.15 
2 1.85 1.7 1.55 1.4 1.25 1.1 0.95 0.8 0.65 0.5 0.35 0.2 0.05 -0.1 -0.25 -0.4 -0.55 -0.7 -0.85 -1 
