# Table format: 0D
4           Gas properties model - PN

100000.0    Reference pressure                                                     [PaA]
300.0       Reference temperature                                                  [K]
20786.3     Reference constant-pressure specific heat cp                           [J/kg/K]
8314.51     Perfect gas constant (r)                                               [J/kg/K]
4.12705e-06 Reference absolute viscosity                                           [kg/m/s]
0.00711265  Reference thermal conductivity                                         [W/m/K]

200.0       Minimum temperature allowed                                            [K]
2500.0      Maximum temperature allowed                                            [K]

1.0         Constant coefficient for constant-pressure specific heat cp            [null]
0.0         Temperature coefficient for constant-pressure specific heat cp         [null]
0.0         Squared temperature coefficient for constant-pressure specific heat cp [null]

0.11355     Constant coefficient for absolute viscosity                            [null]
0.000774135 Temperature coefficient for absolute viscosity                         [null]
-1.8399e-07 Squared temperature coefficient for absolute viscosity                 [null]

1.0         Constant coefficient for thermal conductivity                          [null]
0.0101792   Temperature coefficient for thermal conductivity                       [null]
1.01348e-05 Squared temperature coefficient for thermal conductivity               [null]

217999.0    Enthalpy of formation                                                  [J/mol]
