# Table format: 0D
4             Gas properties model - PN

100000.0      Reference pressure                                                     [PaA]
300.0         Reference temperature                                                  [K]
1005.693886   Reference constant-pressure specific heat cp                           [J/kg/K]
243.9569061   Perfect gas constant (r)                                               [J/kg/K]
1.26821e-05   Reference absolute viscosity                                           [kg/m/s]
0.013846640   Reference thermal conductivity                                         [W/m/K]

200.0         Minimum temperature allowed                                            [K]
1100.0        Maximum temperature allowed                                            [K]

1.001119837   Constant coefficient for constant-pressure specific heat cp            [null]
0.000453948   Temperature coefficient for constant-pressure specific heat cp         [null]
4.716490e-08  Squared temperature coefficient for constant-pressure specific heat cp [null]

-0.003049833  Constant coefficient for absolute viscosity                            [null]
0.001458496   Temperature coefficient for absolute viscosity                         [null]
-1.76038e-06  Squared temperature coefficient for absolute viscosity                 [null]

1.0           Constant coefficient for thermal conductivity                          [null]
0.005151762   Temperature coefficient for thermal conductivity                       [null]
-1.40929e-06  Squared temperature coefficient for thermal conductivity               [null]

-2.0502e+04   Enthalpy of formation                                                  [J/mol]
