# PN zeta=f(Re) preprocessing tool file
#cross-sectional area [mm**2]:	100
#hydraulic diameter [mm]:	10
#fluid:	air
#frontal area [mm**2]:	318500
Pin	Tin	dm	dP
barA	K	g/s	Pa
1.01301	293.15	0.0146	1.0
1.01302	293.15	0.0562	2.0
1.01304	293.15	0.175	4.0
1.01307	293.15	0.291	7.0
1.0131	293.15	0.3530	10.0
1.0132	293.15	0.5000	20.0
1.0134	293.15	0.7070	40.0
1.0137	293.15	0.9350	70.0
1.0140	293.15	1.1170	100.0
1.0150	293.15	1.5800	200.0
1.0160	293.15	1.9360	300.0
1.0180	293.15	2.4990	500.0
1.0200	293.15	2.9580	700.0
1.0250	293.15	3.8750	1200.0
1.0300	293.15	4.6150	1700.0
1.0350	293.15	5.2520	2200.0
1.0500	293.15	6.8220	3700.0
1.1000	293.15	10.5160	8700.0
1.2000	293.15	15.5780	18700.0
1.5000	293.15	25.8710	48700.0
