# Table format: T3D
# table_unit = g/h
# axis1_unit = mg
# axis2_unit = rpm
# axis3_unit = 
   0.3   4
      2000  2
         7   5423.0
         10  9800.0
      3000  3
         10  15500.0
         15  19000.0
         20  21000.0
      4000  3
         10  22000.0
         15  23000.0
         20  28000.0
      5000 2
         10  25000.0
         15  30000.0
   0.6  5
      1000  4
         15  5000.0
         18  6000.0
         25  9000.0
         30  12000.0
      2000  4
         20  16000.0
         45  34000.0
         50  40000.0
         65  51500.0
      3000  4
         40  46000.0
         45  52500.0
         55  61000.0
         60  70000.0
      4000  4
         45  66000.0
         50  80000.0
         55  85000.0
         60  93000.0
      5000 3
         40  80000.0
         45  88000.0
         50  90000.0
   0.7   3
      1000  3
         20  8500.0
         26  11000.0
         39  11500.0
      2000  6
         26  20500.0
         30  23000.0
         32  25000.0
         40  30000.0
         58  45000.0
         60  48000.0
      3000  3
         65  81000.0
         66  83000.0
         68  77000.0
   0.8   3
      1500  3
         48  28000.0
         51  30000.0
         55  31500.0
      1750  2
         62  41500.0
         65  44000.0
      2000  2
         66  51000.0
         68  51500.0
   0.9   4
      1000  2
         38  11400.0
         39  11600.0
      1250  2
         41  19000.0
         46  19500.0
      1500  2
         58  33500.0
         59  34000.0
      1750  2
         70  46200.0
         71  46400.0
   
