# Table format: T3D
# table_unit = g/h
# axis1_unit = mg
# axis2_unit = rpm
# axis3_unit = 
   0.3   4
      2000  2
         7   850
         10  1500.0
      3000  3
         10  3000.0
         15  3300.0
         20  3100.0
      4000  3
         10  4300.0
         15  4400.0
         20  4200.0
      5000 2
         10  4500.0
         15  5000.0
   0.6  5
      1000  4
         15  270.0
         18  260.0
         25  320.0
         30  350.0
      2000  4
         20  880.0
         45  1550.0
         50  1600.0
         65  2000.0
      3000  4
         40  2550.0
         45  2810.0 
         55  3000.0
         60  2730.0
      4000  4
         45  3800.0
         50  3950.0
         55  3600.0
         60  3480.0
      5000 3
        40  4200.0
        45  4300.0
        50  4040.0
   0.7   3
      1000  3
         20  260.0
         26  270.0
         39  310.0
      2000  6
         26  740.0
         30  800.0
         32  880.0
         40  1110.0
         58  1450.0
         60  1330.0
      3000  3
         65  2590.0
         66  2460.0
         68  2700.0
   0.8   3
      1500  3
         48  590.0
         51  500.0
         55  420.0
      1750  2
         62  860.0
         65  760.0
      2000  2
         66  1120.0
         68  1000.0
   0.9   4
      1000  2
         38  110.0
         39  110.0
      1250  2
         41  210.0
         46  120.0
      1500  2
         58  320.0
         59  310.0
      1750  2
         70  500.0
         71  510.0
   
