# heat exchanger NTU regression tool file
#Flow arrangement:	parallel flow thermal effectiveness
#Expression:	0.7
#media1:	PE1lZGlhQ2hvaWNlTW9kZWwgdmVyc2lvbj0iMTcwMCI+PFNFTEVDVEVEX1RZUEU+UE5HRDAwOiBzZW1pIHBlcmZlY3QgZ2FzPC9TRUxFQ1RFRF9UWVBFPjxUZmZkM1NlbGVjdGlvbk1vZGVsIHZlcnNpb249IjE3MDAiPjxTRUxFQ1RFRF9TT1VSQ0U+c2ltcGxlOiBkYXRhYmFzZTwvU0VMRUNURURfU09VUkNFPjxUZmZkM1NpbXBsZVVzZXJEZWZNb2RlbCB2ZXJzaW9uPSIxNzAwIj48TU9ERUxTX0xJU1QvPjxJTkRFWF9TRUxFQ1RFRD5Ob25lPC9JTkRFWF9TRUxFQ1RFRD48L1RmZmQzU2ltcGxlVXNlckRlZk1vZGVsPjxUZmZkM0FkdmFuY2VkVXNlckRlZk1vZGVsIHZlcnNpb249IjE3MDAiPjxNT0RFTFNfTElTVC8+PElOREVYX1NFTEVDVEVEPk5vbmU8L0lOREVYX1NFTEVDVEVEPjwvVGZmZDNBZHZhbmNlZFVzZXJEZWZNb2RlbD48VGZmZDNTaW1wbGVEYXRhYmFzZU1vZGVsIHZlcnNpb249IjE3MDAiPjxTRUxFQ1RFRF9JTkRFWD41PC9TRUxFQ1RFRF9JTkRFWD48L1RmZmQzU2ltcGxlRGF0YWJhc2VNb2RlbD48VGZmZDNBZHZhbmNlZERhdGFiYXNlTW9kZWwgdmVyc2lvbj0iMTcwMCI+PFNFTEVDVEVEX0lOREVYPjA8L1NFTEVDVEVEX0lOREVYPjwvVGZmZDNBZHZhbmNlZERhdGFiYXNlTW9kZWw+PC9UZmZkM1NlbGVjdGlvbk1vZGVsPjxQbmdkU2VsZWN0aW9uTW9kZWwgdmVyc2lvbj0iMTcwMCI+PFNFTEVDVEVEX1NPVVJDRT5kYXRhYmFzZSBnYXM8L1NFTEVDVEVEX1NPVVJDRT48UG5nZERhdGFiYXNlTW9kZWwgdmVyc2lvbj0iMTcwMCI+PFNFTEVDVEVEX0lOREVYPjA8L1NFTEVDVEVEX0lOREVYPjwvUG5nZERhdGFiYXNlTW9kZWw+PFBuZ2RNb2lzdEFpck1vZGVsIHZlcnNpb249IjE3MDAiPjxTRUxFQ1RFRF9JTkRFWD4wPC9TRUxFQ1RFRF9JTkRFWD48L1BuZ2RNb2lzdEFpck1vZGVsPjwvUG5nZFNlbGVjdGlvbk1vZGVsPjxHbWdkMFNlbGVjdGlvbk1vZGVsIHZlcnNpb249IjE3MDAiPjxTRUxFQ1RFRF9TT1VSQ0U+Tm9uZTwvU0VMRUNURURfU09VUkNFPjxHbWdkMFVzZXJEZWZNb2RlbCB2ZXJzaW9uPSIxNzAwIj48TU9ERUxTX0xJU1QvPjxJTkRFWF9TRUxFQ1RFRD5Ob25lPC9JTkRFWF9TRUxFQ1RFRD48L0dtZ2QwVXNlckRlZk1vZGVsPjwvR21nZDBTZWxlY3Rpb25Nb2RlbD48L01lZGlhQ2hvaWNlTW9kZWw+
#media2:	PE1lZGlhQ2hvaWNlTW9kZWwgdmVyc2lvbj0iMTcwMCI+PFNFTEVDVEVEX1RZUEU+VEZGRDM6IHNpbXBsZSBvciBhZHZhbmNlZCBsaXF1aWQ8L1NFTEVDVEVEX1RZUEU+PFRmZmQzU2VsZWN0aW9uTW9kZWwgdmVyc2lvbj0iMTcwMCI+PFNFTEVDVEVEX1NPVVJDRT5zaW1wbGU6IGRhdGFiYXNlPC9TRUxFQ1RFRF9TT1VSQ0U+PFRmZmQzU2ltcGxlVXNlckRlZk1vZGVsIHZlcnNpb249IjE3MDAiPjxNT0RFTFNfTElTVC8+PElOREVYX1NFTEVDVEVEPk5vbmU8L0lOREVYX1NFTEVDVEVEPjwvVGZmZDNTaW1wbGVVc2VyRGVmTW9kZWw+PFRmZmQzQWR2YW5jZWRVc2VyRGVmTW9kZWwgdmVyc2lvbj0iMTcwMCI+PE1PREVMU19MSVNULz48SU5ERVhfU0VMRUNURUQ+Tm9uZTwvSU5ERVhfU0VMRUNURUQ+PC9UZmZkM0FkdmFuY2VkVXNlckRlZk1vZGVsPjxUZmZkM1NpbXBsZURhdGFiYXNlTW9kZWwgdmVyc2lvbj0iMTcwMCI+PFNFTEVDVEVEX0lOREVYPjI8L1NFTEVDVEVEX0lOREVYPjwvVGZmZDNTaW1wbGVEYXRhYmFzZU1vZGVsPjxUZmZkM0FkdmFuY2VkRGF0YWJhc2VNb2RlbCB2ZXJzaW9uPSIxNzAwIj48U0VMRUNURURfSU5ERVg+MDwvU0VMRUNURURfSU5ERVg+PC9UZmZkM0FkdmFuY2VkRGF0YWJhc2VNb2RlbD48L1RmZmQzU2VsZWN0aW9uTW9kZWw+PFBuZ2RTZWxlY3Rpb25Nb2RlbCB2ZXJzaW9uPSIxNzAwIj48U0VMRUNURURfU09VUkNFPk5vbmU8L1NFTEVDVEVEX1NPVVJDRT48UG5nZERhdGFiYXNlTW9kZWwgdmVyc2lvbj0iMTcwMCI+PFNFTEVDVEVEX0lOREVYPjA8L1NFTEVDVEVEX0lOREVYPjwvUG5nZERhdGFiYXNlTW9kZWw+PFBuZ2RNb2lzdEFpck1vZGVsIHZlcnNpb249IjE3MDAiPjxTRUxFQ1RFRF9JTkRFWD4wPC9TRUxFQ1RFRF9JTkRFWD48L1BuZ2RNb2lzdEFpck1vZGVsPjwvUG5nZFNlbGVjdGlvbk1vZGVsPjxHbWdkMFNlbGVjdGlvbk1vZGVsIHZlcnNpb249IjE3MDAiPjxTRUxFQ1RFRF9TT1VSQ0U+Tm9uZTwvU0VMRUNURURfU09VUkNFPjxHbWdkMFVzZXJEZWZNb2RlbCB2ZXJzaW9uPSIxNzAwIj48TU9ERUxTX0xJU1QvPjxJTkRFWF9TRUxFQ1RFRD5Ob25lPC9JTkRFWF9TRUxFQ1RFRD48L0dtZ2QwVXNlckRlZk1vZGVsPjwvR21nZDBTZWxlY3Rpb25Nb2RlbD48L01lZGlhQ2hvaWNlTW9kZWw+
#pressure1 [barA]:	1.013
#pressure2 [barA]:	1.013
#hydraulic diameter1 [mm]:	10
#hydraulic diameter2 [mm]:	10
#cross-sectional area1 [mm**2]:	1000
#cross-sectional area2 [mm**2]:	1000
#convective exchange area1 [mm**2]:	10000
#convective exchange area2 [mm**2]:	10000
#frontal area 1 [mm**2]:	1000
#frontal area 2 [mm**2]:	1000
#minimum transition Reynolds number1 [null]:	2000
#maximum transition Reynolds number1 [null]:	4000
#minimum transition Reynolds number2 [null]:	10
#maximum transition Reynolds number2 [null]:	50
#Gwall:	1000000
#laminar Nusselt1:	90
#laminar Nusselt2:	6
#turbulent Nusselt1:	5*Re^0.7*Pr^0.3333
#turbulent Nusselt2:	5*Re^0.7*Pr^0.3333
Tin1	Tin2	q1	q2	P
degC	degC	m3/s	L/h	kW
20.0000	90.0000	0.1000	750.0000	6.0000
20.0000	90.0000	0.1000	1000.0000	6.2500
20.0000	90.0000	0.1000	1250.0000	6.5000
20.0000	90.0000	0.1000	1500.0000	6.7500
20.0000	90.0000	0.3000	750.0000	11.3000
20.0000	90.0000	0.3000	1000.0000	12.5000
20.0000	90.0000	0.3000	1250.0000	13.8000
20.0000	90.0000	0.3000	1500.0000	14.5000
20.0000	90.0000	0.5000	750.0000	13.5000
20.0000	90.0000	0.5000	1000.0000	15.5000
20.0000	90.0000	0.5000	1250.0000	17.5000
20.0000	90.0000	0.5000	1500.0000	19.0000
20.0000	90.0000	0.7000	750.0000	15.5000
20.0000	90.0000	0.7000	1000.0000	18.0000
20.0000	90.0000	0.7000	1250.0000	20.0000
20.0000	90.0000	0.7000	1500.0000	21.5000
