# heat exchanger SEC regression tool file
#architecture:	5
#orientation:	horizontal
#height:	400
#width:	500
#int_fluid:	cool_EG40_W60
#int_pressure:	1.013
#ext_fluid:	air
#ext_pressure:	1.013
#km:	11.96
#aint:	4.346
#bint:	0.834
#aext:	0.968
#bext:	0.710
#gextTrans:	3.0
#gintTrans:	3.0
#aintlam:	1.0
#bintlam:	0.5
#aextlam:	1.0
#bextlam:	0.5
#highAndLow:	False
Text	Tint	vext	qint	P
degC	degC	m/s	L/h	kW
30.0000	60.0000	2.0000	750.0000	7.5000
30.0000	60.0000	2.0000	1000.0000	8.0000
30.0000	60.0000	2.0000	1250.0000	8.7500
30.0000	60.0000	2.0000	1500.0000	9.0000
30.0000	60.0000	4.0000	750.0000	11.2500
30.0000	60.0000	4.0000	1000.0000	12.5000
30.0000	60.0000	4.0000	1250.0000	13.7500
30.0000	60.0000	4.0000	1500.0000	15.0000
30.0000	60.0000	6.0000	750.0000	13.5000
30.0000	60.0000	6.0000	1000.0000	15.5000
30.0000	60.0000	6.0000	1250.0000	17.5000
30.0000	60.0000	6.0000	1500.0000	19.0000
30.0000	60.0000	8.0000	750.0000	15.0000
30.0000	60.0000	8.0000	1000.0000	17.5000
30.0000	60.0000	8.0000	1250.0000	20.0000
30.0000	60.0000	8.0000	1500.0000	21.5000
